Experiment 1_26 By Biosemi,,,,Experiment 2_29 By ANT,,,,Experiment 3_39 By BP,,,,Experiment 4_30 By ANT,,,,Experiment 5_65 By Ant,,,,Experiment 6_95 By BP,,,,Experiment 7_142 By Biosemi,,,,Experiment 8_223 By BP(Fp1 and Fp2 are damaged),,,,Experiment 9_29 By BP,,,
sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad electrode,bad epoch,bad ica,sub_id,bad epoch,bad electrode,bad ica
,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,TP8,\,1 2 3 4 5 6 9 10 11 12 13 14 15 16 17 18,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,FT7 FT8 FT9,10 23 26 27 30 28,1 2 5 7 9 10 15 16 17 18 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,159, TP9 TP10 T7,\,1 2 3 6 10 11 13 14 18 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,\,\,1 2 3 5 6 11 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,\,,1 3 4 6 8 9 12 13 15 18 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,162, TP9 TP10 FT10 FT9,12,1 2 3 4 5 6 14 16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,O1 Oz PO7 FT7,,1 2 5 6 7 8 10 11 14 15 19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,FC6 TP8 P6,6 10,3 9 11 13 16 19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,T7,,1 2 7 8 10 11 12 14 16 17 18 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,2 3 12 18,1 2 3 4 5 6 7 9 10 12 13 14 15 17 18 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,T7 T8 ,,2 3 5 8 10 11 13 18,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,AF4 T8 ,13 16,1 2 3 4 10 11 15 16 17 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,17 20 25 27,1 2 3 4 5 6 10 11 12 15 16 19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,6 14,1 9 11 15,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,T8,,1 2 3 4 15 16 17 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,20 26,1 2 3 7 13 17 19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,FT7,1 5 6 9 11 15 18 27 30,1 2 3 5 7 11 13 15 17 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,18 24,1 4 7 8 9 10 11 15 17  19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,T7 T8,3 5 14,1 2 3 5 7 9 11 12 13 14 17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,1 3 4,1 13 14 15 16 17 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,T7 T8 ,3 29,1 2 4 6 7 17 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,12,1 2 3 4 6 7 9 10 11 13 14,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,T8,,1 2 3 5 6 7 8 10 11 12 14 15 17 18,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,T7 T8,,3 6 7 11 12 13 15 16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,T7 T8 ,,1 2 3 6 7 11 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,AF3 AF4,,1 2 3 6 7 8 10 11 14 16 18 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,T7 T8,16 28,1 2 3 4 7 8 9 13 15 18 19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,\,,1 2 3 4 5 6 7 8 9 10 12 13 14 18 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,T7,,1 2 3 7 8 9 12 16 17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,Fpz,,1 2 3 10 12 13,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,3 6 21,1 2 3 4 16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,T7 TP9,28,1 2 7 10 12 13 14 15 16 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,T7,,1 2 4 6 8 9 10 12 13 15 16 17 18 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,CP5 TP9,6 10 15 17 30,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 18 19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,CP5 FT10,23 27,1 2 8 10 19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,CP5 FT10 TP9,15,1 2 3 4 5 7 8 9 13 14 17 18 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,FT10 TP9 T7 ,5 8,1 2 3 4 5 7 9 11 15 17 19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,FT7, 1 2,1 2 4 7 8 9 11 15 16 17 18 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,\,,1 2 9 14 15 16 18 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,\,,1 5 7 10 13 17 18,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,\,14 18 21 23 24,1 2 3 6 16 19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,CP5 TP9 AF4,,1 2 3 5 12 14 15 16 17 18 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,\,,1 2 3 4 6 9 10 11 13 17 18 19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,28,1 6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,\,,1 6 7 13 14 15 16 17 18,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,T7 T8 TP9,,1 2 3 4 6 7 12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,CP5 FT10 TP9,,5 7 18,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,CP5 FT10 TP9,,1 2 6 8 9 11 12 18 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,T7 CP5,,1 2 8 12 14 17 18 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,AF3 AF4,,1 2 3 4 6 7 8 10 13 14 15 18 19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,FT9,,1 4 6 7 8 10 13 18,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,T7 T8 AF3 TP8 C3,11 12 19,1 2 3 4 5 6 7 9 10 13 15 16 18 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,TP10,,1 4 6 7 9 10 11 13 14 16 17 18 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,\,,1 2 3 4 5 7 8 10 11 12 15 17 18 19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,,1 8 18 28,1 2 4 5 8 10 12 13 14 15 17 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,T7 T8 TP10,,4 5 6 7 9 13 14 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,T7 TP9 TP8,3 4 5 6 9 12,1 2 3 6 10 11 13 18 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,T7 T8,,1 2 3 5 7 9 10 11 12 13 14 15 17 18 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,TP10,,1 2 3 4 10 14 15 19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,\,,1 2 8 9 10 12 13 14 16 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,CP5 FT10 TP9 O1,,1 2 3 4 5 7 8 11 12 13 16 17 18,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,,4,1 2 4 5 6 7 8 9 11 13 16 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,T7 T8 ,1 3 4 5,2 5 8 9 10 11 14 15 16 18 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,\,,1 2 4 5 6 7 12 13 15 16 17 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,\,,1 2 3 4 5 6 7 9 10 11 12 13 14 16 17 18 19 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,T7 T8,3,1 2 6 7 13 15 16 17 18 20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,T7 T8,21 22 23 24 28 29 30,1 3 4 7 9 10 12 13 14 15 16 19 20,,,,
