Experiment 1_26 By Biosemi,,,,Experiment 2_29 By ANT,,,,Experiment 3_39 By BP,,,,Experiment 4_30 By ANT,,,,Experiment 5_65 By Ant,,,,Experiment 6_95 By BP,,,,Experiment 7_142 By Biosemi,,,,Experiment 8_223 By BP(Fp1 and Fp2 are damaged),,,,Experiment 9_29 By BP,,,
sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad electrode,bad epoch,bad ica,sub_id,bad epoch,bad electrode,bad ica
21,10 15 16,T7,1 2 3 4 6 7 8 9 11 12 13 14 15 17 19 20 22 23 24 25 28 30 33 34 35,21,\,\,1   2   4   5   6   7  11  12  14  17  19  21  23  25  26  27,21,\,\,2 3 6 7 17 20,21,26,M1 M2 O1,1 2 3 4 5 6 7 9 11 13 14 17 21,21,\,T7,1 2 3 4 11,21,\,Fpz Fp2 Tp7 T8,5 9 22 26 30,21,\,\,2   3   5  10  15  22,21, Fpz T8 TP10 AF3,\,2 5 7 9 11 17 19,21,12 26 27 45 50 77 90 93 100 109 120 ,,2 3 12 14 17 18 22
22,\,\,1 2 3 8 11 12 17 18 19 23 24 28 29 32,22,\,\,1   3   8  10  11  12  13  15  18  23  24  29  30  31  32,22,\,Fp1,1 2 5 7 8 11 13 18 20 25,22,\,\,1 2 3 4 20 23,22,\,M1 M2,1 2 3 4 5 7 9 10 11 13,22,78,Fpz Fp2,1 2 3 4 5 8 11 12 17 22 23 25 30 33 34,22,\,T7 P1 P7 PO7 O1,1   2   3   4   5   6   7   8   9  10  12  17  21  23  27,22, T7 T8,30,1 6 7 8 10 11 14 16 18 20,22,66 85 ,\,1 4 6 13 15 18 20
23,\,\,1 2 3 7 10 12 14 20 22 25 28 31 33,23,\,T7 T8,1   2   4   5   6   7   8   9  10  12  13  14  15  16  18  20  27  30  31  32,23,\,\,1 2 6 7 24 30 31,23,\,M1 O1,1 2 3 5 9 10 11 15 18 22 24 25,23,\,M1 M2,1 2 3 4 5 7 8 10 16 17 18,23,6 17 18 20 30 31 38 39 58 79,Fpz Fp2 T7 T8,1 2 3 6 8 11 18 28,23,\,P1 P7 PO7 O1,2   3   4   5   6   7  13  17  18,23, O1 T7 T8 TP10 TP8,1 12,1 2 3 4 7 11 13 17 18 19,23,\,\,1 6 13 16 17 19 20 23
24,\,Fp1 Fp2 AF8,1 2 3 4 5 15 16 17 18 20 21 23 25 26 30 34 35,24,70 81 82 95 112,T7 T8 M2,1   2   3   4   5   6   8  10  11  13  14  15  16  17  18  19  21  22  23  24  25  26  27  28  30  31  32,24,\,T7,1 2 3 4 5 6 10,24,\,T7 T8,1 2 3 4 5,24,\,M1 T7 T8 M2,1 2 3 5 14 20 22 25,24,36 76,Fpz Fp2,3 9 12 25 29 31 32,24,\,P1 P7,1   2   3   4   8  17  19  21  25  26,24, T8,1 12 20 27 30,3 8 15 19,24,37 78 83 84 90 104 114 117 130,\,1 3 4 6 16 17 18 19 20 21
25,1 13,\,1 2 3 4 5 6 7 9 10 12 13 15 16 17 18 19 21 22 23 24 26 27 28,25,\,T7 T8,1   2   3   6   7   9  10  13  15  17  22  28,25,\,T7,1 2 4 ,25,\,Fp1 Fp2 Fpz T7 M2,1 2 3 4 5 7 8 15 16 18 24,25,\,F8 T8 O2,1 2 3 4 5 6 9 10 14 16,25,\,Fpz Fp2,5 14 15 17 21 22 23 24 25 26 28 30 31 32 33 34,25,\,FC5 T7 CP3,1   2   3   4   5   6   7   8  10  11  12  13  14  15  16  17  18  21  22  28,25, O2 FC1,12 20,1 2 3 4 6 14 19,25,3 100 ,\,1 4 8 9 10 12 13 16 19 20
26,4 7 10 11,T7 T8,1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 20 21 22 23 24 29 30 31 32 33 34,26,\,\,1   2   3   4   5   6   7   8   9  10  11  13  14  15  16  18  20  22  27  28  29  30  31  32,26,4,\,1 3 4 5 6 9 10 17 18 23 25 29 32,26,\,FC5 T7 CP5,1 2 3 4 6 8 9 15 16 20 21,26,3 5 17,\,1 2 14 15 16 18 24,26,\,Fpz Fp2,1 2 3 10 13 14 15 16 17 18 19 20 24 25 29 33,26,\,Fpz Fp2,1   2   4   5   7   8  10  19,26, O2 Oz,\,1 2 4 11 13 14,26,4 10 43 67 70 ,\,1 2 5 6 10 12 14 15 17 18 19 22
,,,,27,130,T7,1   2   3   5   7  10  11  14  17  18  22  24  25  27  32,27,\,O1 O2,1 2 5 6 12 16 22 26 29,27,\,F8 FC5 FC6 M1 T7 T8 M2,1 3 5 6 7 8 10 11 12 16 18 19 23 24,27,\,M1 T7 T8,1 2 3 4 5 6,27,\,Fpz Fp2 T7 Tp8,1 2 6 7 8 9 12 15 16 18 19 20 21 22 26 27 28 29 31,27,30,\,1   2   3   4   5   6  10  11  20  24  30,27, O1 O2 Oz T7 T8,1 2,1 2 3 4 6 9 11 12 15 18 20,27,11 50 60 68 90 112 ,\,1 2 5 6 7 11 14 16 17
,,,,28,\,T7 T8 M1 M2,1   2   3   4   5   7   9  10  11  17  19  20  21  22  24  27  30  31  32,28,\,\,1 2 4 8 10 13,28,\,M1 T8 M2,1 2 3 4 5 6 7 8 20 23 24,28,\,Fz T7 T8,1 2 3 4 7 9 13 17 19 24,28,\,Fpz Fp2,1 2 4 5 6 25 28 31 32,28,\,Fpz Fp2,1   2   3   5   6   7  31,28, TP10,\,1 2 9 13 19,28,41 43 49 59 ,T7 T8 Tp7 Tp8 P8,1 2 3 4 5 6 8 9 11 12 13 14 15 18
,,,,29,\,T7 T8,1   2   3   4   7   8  10  12  13  14  15  17  19  20  28  29  30  31  32,29,2 3 7 ,\,1 2 3 4 5 6 7 9 14 17 25 28,29,4 5,M1 T7,1 2 3 5 6 8 24,29,22 26 30,M1 M2,1 2 6 12,29,2 6 10 13 16 17 18 20 28 30 38 39 54 55 58 65 66 73 75 77 78 79,Fpz,1 4 5 10 14 17 20 21 22 24 26 28 29 30 33 34,29,\,\,1   4   7  11  32,29,,20,1 3 4 10 12 13 14 20,29,59,\,1 3 4 5 6 10 11 18 19
,,,,.,,,,30,1 8 9 ,\,1 2 3 4 5 6 7 8 9 12 15 16 20 26 29 30,30,19,T8 M2,1 2 3 4 12 16 18 24 25,30,\,T7 T8 Oz O2,1 2 3 5 9 10,30,20 38 ,Fpz AF8,1 2 10 11 12 13 22 24 29 32,30,\,T7 P1 P7 PO7 T8,1  2  3  4  5  6  9,30, TP10 T8 O2,\,1 2 6 17 20,,,,
